detector,scenario,true_label,predicted,score,correct,latency_ms,repeat
HyFD,no_failure,0,0,0.1784322852747857,1,597.632884979248,0
HyFD,no_failure,0,0,0.182640382296806,1,616.9936656951904,1
HyFD,no_failure,0,0,0.17745133797991355,1,573.704719543457,2
HyFD,no_failure,0,0,0.18152158263145338,1,583.200216293335,3
HyFD,no_failure,0,0,0.1810537529466317,1,599.1363525390625,4
HyFD,no_failure,0,0,0.1879581449169849,1,512.6121044158936,5
HyFD,no_failure,0,0,0.178861620759958,1,463.0458354949951,6
HyFD,no_failure,0,0,0.18004215676663896,1,476.7577648162842,7
HyFD,no_failure,0,0,0.17996605180495998,1,533.05983543396,8
HyFD,no_failure,0,0,0.18224032241093857,1,462.8880023956299,9
HyFD,no_failure,0,0,0.17658252169153665,1,459.14363861083984,10
HyFD,no_failure,0,0,0.18310053744100974,1,452.5601863861084,11
HyFD,no_failure,0,0,0.17984129823972614,1,445.73235511779785,12
HyFD,no_failure,0,0,0.1822084950270952,1,466.4027690887451,13
HyFD,no_failure,0,0,0.1836315672132946,1,459.03944969177246,14
HyFD,no_failure,0,0,0.17849561585933796,1,450.8209228515625,15
HyFD,no_failure,0,0,0.18464187941969115,1,436.77592277526855,16
HyFD,no_failure,0,0,0.18409695360619827,1,470.6401824951172,17
HyFD,no_failure,0,0,0.18032633287750402,1,467.2069549560547,18
HyFD,no_failure,0,0,0.17793517933770012,1,461.77220344543457,19
HyFD,data_drift,1,1,0.6009464058709313,1,509.4187259674072,0
HyFD,data_drift,1,1,0.6034392528787486,1,488.29054832458496,1
HyFD,data_drift,1,1,0.602363292622368,1,483.66522789001465,2
HyFD,data_drift,1,1,0.6020727119955555,1,492.13504791259766,3
HyFD,data_drift,1,1,0.6027431631128007,1,501.3613700866699,4
HyFD,data_drift,1,1,0.6043441036864019,1,501.06263160705566,5
HyFD,data_drift,1,1,0.6016820764296348,1,525.0544548034668,6
HyFD,data_drift,1,1,0.6033151002626573,1,496.42372131347656,7
HyFD,data_drift,1,1,0.6036822459746333,1,522.721529006958,8
HyFD,data_drift,1,1,0.6030114601403618,1,485.46862602233887,9
HyFD,data_drift,1,1,0.6016585932729077,1,511.63315773010254,10
HyFD,data_drift,1,1,0.6023053450801555,1,507.3111057281494,11
HyFD,data_drift,1,1,0.6029986090576759,1,474.4749069213867,12
HyFD,data_drift,1,1,0.6030230699178145,1,483.7515354156494,13
HyFD,data_drift,1,1,0.6020220293255882,1,478.360652923584,14
HyFD,data_drift,1,1,0.6033190933204242,1,490.250825881958,15
HyFD,data_drift,1,1,0.6023767121375283,1,543.123722076416,16
HyFD,data_drift,1,1,0.6020522259278818,1,477.095365524292,17
HyFD,data_drift,1,1,0.600992968249397,1,492.9468631744385,18
HyFD,data_drift,1,1,0.6039335595055055,1,503.1559467315674,19
HyFD,noisy_features,1,1,0.680367999969632,1,483.4263324737549,0
HyFD,noisy_features,1,1,0.680383999969616,1,482.09190368652344,1
HyFD,noisy_features,1,1,0.6803999999696,1,486.041784286499,2
HyFD,noisy_features,1,1,0.680383999969616,1,480.67378997802734,3
HyFD,noisy_features,1,1,0.680375999969624,1,496.959924697876,4
HyFD,noisy_features,1,1,0.680391999969608,1,514.8108005523682,5
HyFD,noisy_features,1,1,0.680391999969608,1,493.85547637939453,6
HyFD,noisy_features,1,1,0.680383999969616,1,480.9699058532715,7
HyFD,noisy_features,1,1,0.680367999969632,1,487.8823757171631,8
HyFD,noisy_features,1,1,0.680367999969632,1,488.8744354248047,9
HyFD,noisy_features,1,1,0.680375999969624,1,474.57289695739746,10
HyFD,noisy_features,1,1,0.680375999969624,1,499.1750717163086,11
HyFD,noisy_features,1,1,0.680383999969616,1,486.7265224456787,12
HyFD,noisy_features,1,1,0.68035999996964,1,506.7484378814697,13
HyFD,noisy_features,1,1,0.68035999996964,1,504.89306449890137,14
HyFD,noisy_features,1,1,0.680383999969616,1,491.0459518432617,15
HyFD,noisy_features,1,1,0.6803999999696,1,505.79118728637695,16
HyFD,noisy_features,1,1,0.680375999969624,1,482.21540451049805,17
HyFD,noisy_features,1,1,0.680383999969616,1,482.0680618286133,18
HyFD,noisy_features,1,1,0.680391999969608,1,509.77444648742676,19
HyFD,missing_data,1,1,0.37270150446981565,1,464.9829864501953,0
HyFD,missing_data,1,1,0.3719379470875607,1,474.6220111846924,1
HyFD,missing_data,1,1,0.3732725822994447,1,454.2970657348633,2
HyFD,missing_data,1,1,0.3711341109450097,1,479.4178009033203,3
HyFD,missing_data,1,1,0.3729485360185401,1,498.58641624450684,4
HyFD,missing_data,1,1,0.3705866047873381,1,508.8365077972412,5
HyFD,missing_data,1,1,0.3715874001221032,1,459.7640037536621,6
HyFD,missing_data,1,1,0.37114431906260525,1,480.75294494628906,7
HyFD,missing_data,1,1,0.3722974752094765,1,459.2015743255615,8
HyFD,missing_data,1,1,0.37299335989876814,1,468.8999652862549,9
HyFD,missing_data,1,1,0.3708083392064613,1,456.03418350219727,10
HyFD,missing_data,1,1,0.3722000168115947,1,460.2952003479004,11
HyFD,missing_data,1,1,0.3724988167779122,1,461.9278907775879,12
HyFD,missing_data,1,1,0.3709745097987536,1,457.20911026000977,13
HyFD,missing_data,1,1,0.3718442166422414,1,462.1233940124512,14
HyFD,missing_data,1,1,0.372229646696979,1,454.87236976623535,15
HyFD,missing_data,1,1,0.3734412674597414,1,489.4599914550781,16
HyFD,missing_data,1,1,0.3721505522339925,1,460.22605895996094,17
HyFD,missing_data,1,1,0.3716139081052209,1,457.87668228149414,18
HyFD,missing_data,1,1,0.37237793250520224,1,465.8498764038086,19
HyFD,ood_samples,1,1,0.5934557332551181,1,508.2380771636963,0
HyFD,ood_samples,1,1,0.5936377468313281,1,503.4031867980957,1
HyFD,ood_samples,1,1,0.5944943733760003,1,495.0246810913086,2
HyFD,ood_samples,1,1,0.5937505207962224,1,535.3221893310547,3
HyFD,ood_samples,1,1,0.5936799590638638,1,529.7958850860596,4
HyFD,ood_samples,1,1,0.5940892967792261,1,510.59675216674805,5
HyFD,ood_samples,1,1,0.5929391613720448,1,537.2493267059326,6
HyFD,ood_samples,1,1,0.5941505888806317,1,504.93431091308594,7
HyFD,ood_samples,1,1,0.5937149952504446,1,524.1596698760986,8
HyFD,ood_samples,1,1,0.5939541099693887,1,506.1831474304199,9
HyFD,ood_samples,1,1,0.5934435906993801,1,507.6947212219238,10
HyFD,ood_samples,1,1,0.5937191582076261,1,485.54229736328125,11
HyFD,ood_samples,1,1,0.5943914956208166,1,506.36792182922363,12
HyFD,ood_samples,1,1,0.5939685163186836,1,499.1433620452881,13
HyFD,ood_samples,1,1,0.5941806311438415,1,495.8200454711914,14
HyFD,ood_samples,1,1,0.594036984288914,1,528.754711151123,15
HyFD,ood_samples,1,1,0.5936336394532769,1,509.7036361694336,16
HyFD,ood_samples,1,1,0.5944927099599178,1,505.7234764099121,17
HyFD,ood_samples,1,1,0.5942712137091116,1,522.1612453460693,18
HyFD,ood_samples,1,1,0.5940525308007416,1,513.8413906097412,19
HyFD,corrupted_data,1,1,0.564485243130649,1,443.6383247375488,0
HyFD,corrupted_data,1,1,0.5652819429191566,1,452.59976387023926,1
HyFD,corrupted_data,1,1,0.5648817331671877,1,478.0442714691162,2
HyFD,corrupted_data,1,1,0.5635788192039971,1,453.5644054412842,3
HyFD,corrupted_data,1,1,0.5654490995864105,1,495.8462715148926,4
HyFD,corrupted_data,1,1,0.5650790070986653,1,465.1780128479004,5
HyFD,corrupted_data,1,1,0.5641993267578996,1,472.61810302734375,6
HyFD,corrupted_data,1,1,0.5646566041751773,1,450.9108066558838,7
HyFD,corrupted_data,1,1,0.5637112191557098,1,489.87627029418945,8
HyFD,corrupted_data,1,1,0.5643206576651503,1,459.17391777038574,9
HyFD,corrupted_data,1,1,0.5642710369301406,1,456.32028579711914,10
HyFD,corrupted_data,1,1,0.5649158805972723,1,474.8663902282715,11
HyFD,corrupted_data,1,1,0.5639184964722515,1,460.59441566467285,12
HyFD,corrupted_data,1,1,0.5647190034380118,1,481.14991188049316,13
HyFD,corrupted_data,1,1,0.5645042529991757,1,456.9876194000244,14
HyFD,corrupted_data,1,1,0.5647561213624459,1,450.5159854888916,15
HyFD,corrupted_data,1,1,0.5645689578969058,1,444.61965560913086,16
HyFD,corrupted_data,1,1,0.5655987269891442,1,454.53333854675293,17
HyFD,corrupted_data,1,1,0.5638356961046231,1,452.4812698364258,18
HyFD,corrupted_data,1,1,0.5646699666000463,1,446.63095474243164,19
DriftOnly,no_failure,0,0,0.0,1,15.585899353027344,0
DriftOnly,no_failure,0,0,0.0,1,15.92564582824707,1
DriftOnly,no_failure,0,0,0.0,1,16.227245330810547,2
DriftOnly,no_failure,0,0,0.0,1,15.351295471191406,3
DriftOnly,no_failure,0,0,0.0,1,15.030145645141602,4
DriftOnly,no_failure,0,0,0.0,1,15.367746353149414,5
DriftOnly,no_failure,0,0,0.0,1,15.689849853515625,6
DriftOnly,no_failure,0,0,0.0,1,15.404462814331055,7
DriftOnly,no_failure,0,0,0.0,1,15.854358673095703,8
DriftOnly,no_failure,0,0,0.0,1,15.736103057861328,9
DriftOnly,no_failure,0,0,0.0,1,16.750097274780273,10
DriftOnly,no_failure,0,0,0.0,1,16.298294067382812,11
DriftOnly,no_failure,0,0,0.0,1,15.571355819702148,12
DriftOnly,no_failure,0,0,0.0,1,16.810894012451172,13
DriftOnly,no_failure,0,0,0.0,1,15.53654670715332,14
DriftOnly,no_failure,0,0,0.0,1,15.792608261108398,15
DriftOnly,no_failure,0,0,0.0,1,16.68834686279297,16
DriftOnly,no_failure,0,0,0.0,1,15.523195266723633,17
DriftOnly,no_failure,0,0,0.0,1,15.02370834350586,18
DriftOnly,no_failure,0,0,0.0,1,15.269041061401367,19
DriftOnly,data_drift,1,1,0.6,1,59.87215042114258,0
DriftOnly,data_drift,1,1,0.6,1,58.96496772766113,1
DriftOnly,data_drift,1,1,0.6,1,59.94153022766113,2
DriftOnly,data_drift,1,1,0.6,1,63.062429428100586,3
DriftOnly,data_drift,1,1,0.6,1,61.58924102783203,4
DriftOnly,data_drift,1,1,0.6,1,62.56270408630371,5
DriftOnly,data_drift,1,1,0.6,1,63.47084045410156,6
DriftOnly,data_drift,1,1,0.6,1,60.569047927856445,7
DriftOnly,data_drift,1,1,0.6,1,60.947418212890625,8
